"region","brains.average.rank","final.rank","G1.fMRI","T1T2ratio","Evolution.Expansion","CBF","AllometricScaling.PNC20mm","PET.AG","Externopyramidisation","Cortical.Thickness","PC1.AHBA","PC1.Neurosynth","regions_ColeAnt12","ColeAnticevicNetPartition","ColeAntNet_name","array_NetGroup","GeneExp_PC1","GeneExp_PC2","GeneExp_PC3","GeneExp_PC4","GeneExp_PC5"
"PFop",83.8,76.5,-3.32019853,1.250734426,0.926619231,61.11534159,1.118851221,-0.302316282,0.247962198,2.734286534,-0.112008517,-51.29938319,"L_PFop",4,"Cingulo-Opercular","Transition",0.393537560696392,1.27815504017888,-0.151231352939837,0.285720864050577,1.06950871113826
"PF",100.3,107,-0.920500765,1.2410465,1.685622395,64.56356668,1.207372067,0.000531514,0.299047642,2.642897565,-1.579462086,-25.0725325,"L_PF",4,"Cingulo-Opercular","Transition",-0.283146711891219,-0.635615518553734,0.667851889918132,0.539321939360379,-0.245372639817363
"PFm",113.8,135,5.08119923,1.259546531,1.444855596,67.00386205,1.09086334,0.309384347,0.223038558,2.602183364,-2.729687753,1.154318187,"L_PFm",7,"Frontoparietal","Transition",-0.19155526776772,-0.176467432129295,1.48475632613805,0.716959326582174,-0.344473571556633
"PGi",112.3,127,5.483263497,1.291881994,1.191182476,62.42764979,1.185287289,-0.037329602,0.228460764,2.58582635,-2.631164795,25.18981531,"L_PGi",9,"Default","Transition",-0.0874346123646718,-0.28083244073237,-0.395378221254078,0.934132402525263,0.544971626051443
"PGs",112.9,133,5.609616118,1.265234659,0.472941951,64.64232677,1.082122857,0.291931956,0.196498881,2.600558084,-3.38737553,30.98732056,"L_PGs",9,"Default","Transition",-0.501178870251035,0.402565042545857,0.529243803341702,-0.839859948977135,0.183565899909594
"V6A",49.9,17.5,-4.49763059,1.408173818,-0.789117043,57.77490635,1.014914757,0.076710142,0.250681281,2.304334384,-8.413615478,1.154318187,"L_V6A",2,"Visual2","Sensory",-1.73193744710615,1.71303887954743,4.3274957795257,-0.687363856481213,-0.419392630407092
"VMV1",29.1,1,-4.085146678,1.447373239,-1.421649034,55.00892224,0.70943945,-0.67838655,0.337135069,2.528288586,-8.878133588,1.154318187,"L_VMV1",2,"Visual2","Sensory",-1.20471161791948,1.03704129251378,0.279421759982695,0.624362296861298,-2.98663984784695
"VMV3",44.45,6,-4.182953588,1.408844262,-1.636387234,48.44093692,1.051023643,-0.553850783,0.441934848,2.542325215,-3.391226939,16.38000802,"L_VMV3",2,"Visual2","Transition",0.251835130983772,1.28368659274241,-0.567714643941916,-0.384935837476933,-0.164777081200964
"PHA2",73.5,60,1.759019416,1.201132608,-1.852256711,53.64601668,0.762089717,-0.373205558,0.313079952,2.349726632,8.500017191,39.38183969,"L_PHA2",9,"Default","Association",1.81011628617208,0.695366569254889,0.75043558043846,-1.89840165602594,-1.39959847809207
"V4t",64.1,35,-4.179660359,1.407068589,-0.204359822,61.6575863,1.131989469,0.101190837,0.282416644,2.528893863,-9.185468779,-1.81986245,"L_V4t",2,"Visual2","Sensory",-0.766710835483052,-0.856324719014945,-3.42851134662645,1.16438184441947,0.137412377335337
